lat_center,lng_center,grid_in_location,activities_mean,comfort_mean,mobility_mean,social_mean,negative_mean,livability
-7.93108667589984,-34.99956006459074,True,0.0,4.0335600255215155e-13,0.0,0.0,0.0,4.969423082560118e-13
-7.93108667589984,-34.99774218502796,True,0.0,8.860610032627347e-12,0.0,0.0,0.0,1.0916440995819567e-11
-7.93108667589984,-34.94865943683273,True,8.062358745146815e-07,0.0001019119909229832,0.0,0.0,0.0,0.00012655081962766453
-7.93108667589984,-34.94684155726995,True,5.404211100113858e-07,4.241302160563344e-05,0.0,0.0,0.0,5.291946279613152e-05
-7.93108667589984,-34.945023677707155,True,3.086872318001442e-07,1.3770218103527648e-05,0.0,0.0,0.0,1.7345480594778252e-05
-7.93108667589984,-34.943205798144376,True,1.5025201344476073e-07,3.485400296084535e-06,0.0,0.0,0.0,4.479193167529945e-06
-7.93108667589984,-34.94138791858158,True,6.232130711215356e-08,6.940471746688758e-07,0.0,0.0,0.0,9.318604330916383e-07
-7.932886677699841,-35.00137794415353,True,0.0,0.0,0.0,0.0,0.0,0.0
-7.932886677699841,-34.99956006459074,True,0.0,1.6490938207131653e-12,0.0,0.0,0.0,2.0317151216560086e-12
-7.932886677699841,-34.99774218502796,True,0.0,3.4672585272911164e-11,0.0,0.0,0.0,4.2717288077288745e-11
-7.932886677699841,-34.992288546339594,True,0.0,5.122407323567094e-08,0.0,0.0,0.0,6.310903775063586e-08
-7.932886677699841,-34.95047731639552,True,1.627715738379417e-07,0.0004691699590301613,0.0,0.0,0.0,0.0005782268988455004
-7.932886677699841,-34.94865943683273,True,1.280381108391493e-07,0.0002498217197118346,0.0,0.0,0.0,0.00030794288126249203
-7.932886677699841,-34.94684155726995,True,8.582527399113198e-08,0.0001040897411768121,0.0,0.0,0.0,0.00012834628994828518
-7.932886677699841,-34.945023677707155,True,4.902366076532877e-08,3.3848339436254466e-05,0.0,0.0,0.0,4.176219953252637e-05
-7.932886677699841,-34.943205798144376,True,2.3862195950460307e-08,8.587227868171946e-06,0.0,0.0,0.0,1.0609027623215101e-05
-7.932886677699841,-34.94138791858158,True,9.897576571670556e-09,1.7176819591541337e-06,0.0,0.0,0.0,2.128411023382329e-06
-7.932886677699841,-34.939570039018804,True,3.4983313108254043e-09,4.0562007459330805e-07,0.0,0.0,0.0,5.040416993763058e-07
-7.932886677699841,-34.93593427989323,True,2.7044930006136684e-10,4.649890098083063e-06,0.0,0.0,0.0,5.729086716340184e-06
-7.932886677699841,-34.93411640033044,True,5.925153871544049e-11,1.8375604484987696e-05,0.0,0.0,0.0,2.2639169109142133e-05
-7.934686679499842,-35.00137794415353,True,0.0,0.0,0.0,0.0,0.0,0.0
-7.934686679499842,-34.99956006459074,True,0.0,5.365967985651578e-12,0.0,0.0,0.0,6.61097516820215e-12
-7.934686679499842,-34.99774218502796,True,0.0,1.0870915077134886e-10,0.0,0.0,0.0,1.3393175252395099e-10
-7.934686679499842,-34.99592430546517,True,0.0,1.5610029689266348e-09,0.0,0.0,0.0,1.9231855077515356e-09
-7.934686679499842,-34.99410642590239,True,0.0,1.7572039684611133e-08,0.0,0.0,0.0,2.1649088910007887e-08
-7.934686679499842,-34.992288546339594,True,0.0,1.5576124376101193e-07,0.0,0.0,0.0,1.9190083083346863e-07
-7.934686679499842,-34.95047731639552,True,2.202797320468884e-08,0.0009164396994010599,0.0,0.0,0.0,0.0011290983730204301
-7.934686679499842,-34.94865943683273,True,1.732763768315669e-08,0.0004891456922749044,0.0,0.0,0.0,0.0006026581944752717
-7.934686679499842,-34.94684155726995,True,1.1614975403300577e-08,0.0002044654967716513,0.0,0.0,0.0,0.0002519197117538018
-7.934686679499842,-34.945023677707155,True,6.634543024805176e-09,6.678603129617536e-05,0.0,0.0,0.0,8.228984154614893e-05
-7.934686679499842,-34.943205798144376,True,3.2293664493342384e-09,1.7064016620873905e-05,0.0,0.0,0.0,2.1027173422111067e-05
-7.934686679499842,-34.94138791858158,True,1.3394844092282661e-09,3.46896098301435e-06,0.0,0.0,0.0,4.27547653614109e-06
-7.934686679499842,-34.939570039018804,True,4.734548320415402e-10,8.502485499961348e-07,0.0,0.0,0.0,1.0481057777461378e-06
-7.934686679499842,-34.93775215945601,True,1.4263089404535366e-10,1.9330344135977717e-06,0.0,0.0,0.0,2.3817110856881036e-06
-7.934686679499842,-34.93593427989323,True,3.6691596381735143e-11,9.371304853076553e-06,0.0,0.0,0.0,1.1545671985042798e-05
-7.934686679499842,-34.93411640033044,True,8.240357029553682e-12,3.699203893331501e-05,0.0,0.0,0.0,4.557490949257178e-05
-7.934686679499842,-34.93229852076766,True,2.1132653888623145e-12,0.00011395771090114311,0.0,0.0,0.0,0.000140398081572207
-7.934686679499842,-34.930480641204866,True,2.515457429416705e-12,0.0002735782908164344,0.0,0.0,0.0,0.0003370536888428051
-7.934686679499842,-34.925027002516515,True,3.740395784592269e-10,0.001058276174533562,0.0,0.0,0.0,0.0013038169445690737
-7.934686679499842,-34.92320912295372,True,1.704294141871152e-09,0.0007925948575447339,0.0,0.0,0.0,0.0009764941204886718
-7.936486681299844,-35.00319582371631,True,0.0,0.0,0.0,0.0,0.0,0.0
-7.936486681299844,-35.00137794415353,True,0.0,0.0,0.0,0.0,0.0,0.0
-7.936486681299844,-34.99956006459074,True,0.0,1.4072234593177138e-11,0.0,0.0,0.0,1.7337262112888428e-11
-7.936486681299844,-34.99774218502796,True,0.0,2.76197444103933e-10,0.0,0.0,0.0,3.402805326782588e-10
