lat_start,lat_end,lng_start,lng_end,lat_center,lng_center,km_to_centroid,grid_in_location,degrees_to_centroid,comfort_leisure_spots,activities_education,mobility_public_transport_bus,activities_economic,activities_goverment,social_life_eating,comfort_comfort_spots,activities_public_service,comfort_leisure_mass,activities_educational,social_life_night_life,mobility_bike_infraestructure,activities_health_regional,activities_health_local,activities_post,activities_mean,comfort_mean,mobility_mean,social_mean
45.56424693300043,45.573246942000445,12.1668349,12.195287205729128,45.568746937500435,12.181061052864564,17.137663260560874,False,148.15338720029305,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0
45.56424693300043,45.573246942000445,12.195287205729128,12.223739511458257,45.568746937500435,12.209513358593693,15.548522072384573,False,143.09465864774882,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0
45.56424693300043,45.573246942000445,12.223739511458257,12.252191817187386,45.568746937500435,12.237965664322822,14.129473894625255,False,136.4876092668675,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0
45.56424693300043,45.573246942000445,12.252191817187386,12.280644122916515,45.568746937500435,12.26641797005195,12.93661427999163,False,127.77680325139383,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0
45.56424693300043,45.573246942000445,12.280644122916515,12.309096428645644,45.568746937500435,12.29487027578108,12.037375634222043,False,116.41536901382617,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0
45.56424693300043,45.573246942000445,12.309096428645644,12.337548734374773,45.568746937500435,12.323322581510208,11.500839306248992,False,102.32247078330387,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0
45.56424693300043,45.573246942000445,12.337548734374773,12.366001040103901,45.568746937500435,12.351774887239337,11.378429961157863,False,86.57513672501469,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0
45.56424693300043,45.573246942000445,12.366001040103901,12.39445334583303,45.568746937500435,12.380227192968466,11.683171804324203,False,71.31759943147465,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0
45.56424693300043,45.573246942000445,12.39445334583303,12.422905651562159,45.568746937500435,12.408679498697595,12.38357012137955,False,58.3490090179163,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0
45.56424693300043,45.573246942000445,12.422905651562159,12.451357957291288,45.568746937500435,12.437131804426723,13.417808423522757,False,48.18023458719378,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0
45.56424693300043,45.573246942000445,12.451357957291288,12.479810263020417,45.568746937500435,12.465584110155852,14.715665865920007,False,40.44768431820554,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0
45.56424693300043,45.573246942000445,12.479810263020417,12.508262568749545,45.568746937500435,12.494036415884981,16.21396069222012,False,34.56812452829001,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0
