lat_center,lng_center,grid_in_location,activities_mean,comfort_mean,mobility_mean,social_mean,livability
-29.933749564299433,-51.26286903185468,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.933749564299433,-51.26078844887286,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.933749564299433,-51.258707865891054,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.933749564299433,-51.256627282909236,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.933749564299433,-51.25454669992743,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.933749564299433,-51.25246611694561,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.933749564299433,-51.25038553396381,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.933749564299433,-51.24830495098199,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.933749564299433,-51.246224368000185,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.933749564299433,-51.244143785018366,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.935549566099432,-51.2670301978183,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.935549566099432,-51.26494961483648,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.935549566099432,-51.26286903185468,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.935549566099432,-51.26078844887286,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.935549566099432,-51.258707865891054,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.935549566099432,-51.256627282909236,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.935549566099432,-51.25454669992743,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.935549566099432,-51.25246611694561,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.935549566099432,-51.25038553396381,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.935549566099432,-51.24830495098199,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.935549566099432,-51.246224368000185,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.935549566099432,-51.244143785018366,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.935549566099432,-51.24206320203656,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.935549566099432,-51.23998261905474,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.93734956789944,-51.269110780800105,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.93734956789944,-51.2670301978183,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.93734956789944,-51.26494961483648,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.93734956789944,-51.26286903185468,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.93734956789944,-51.26078844887286,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.93734956789944,-51.258707865891054,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.93734956789944,-51.256627282909236,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.93734956789944,-51.25454669992743,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.93734956789944,-51.25246611694561,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.93734956789944,-51.25038553396381,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
-29.93734956789944,-51.24830495098199,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.13020833333333331
