lat_center,lng_center,grid_in_location,activities_mean,comfort_mean,mobility_mean,social_mean,negative_mean,livability
-22.747004764299422,-43.12888810036128,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.747004764299422,-43.12693388689236,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.750604767899432,-43.107391752203085,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.750604767899432,-43.10543753873415,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.75240476969944,-43.109345965672006,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.75240476969944,-43.107391752203085,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.75240476969944,-43.10543753873415,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.75240476969944,-43.10348332526523,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.75420477149944,-43.11716281954772,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.75420477149944,-43.11130017914094,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.75420477149944,-43.109345965672006,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.75420477149944,-43.107391752203085,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.75420477149944,-43.10543753873415,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.756004773299445,-43.11911703301665,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.756004773299445,-43.11716281954772,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.756004773299445,-43.1152086060788,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.756004773299445,-43.11130017914094,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.756004773299445,-43.109345965672006,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.756004773299445,-43.107391752203085,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.757804775099444,-43.11911703301665,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.757804775099444,-43.109345965672006,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.75960477689945,-43.109345965672006,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.76140477869945,-43.109345965672006,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.76140477869945,-43.107391752203085,True,-1.125,-0.3333333333333333,3.3285796957671994,-1.875,-2.75,0.4301765650080257
-22.763204780499457,-43.109345965672006,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.763204780499457,-43.107391752203085,True,-1.125,-0.3333333333333333,4.582010582010587,-1.875,-2.75,0.5429373996789728
-22.763204780499457,-43.10543753873415,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.765004782299457,-43.109345965672006,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.765004782299457,-43.107391752203085,True,-1.125,0.726915579866573,-0.944995125083838,-1.77064026417913,-2.75,0.046147672552166924
-22.765004782299457,-43.10543753873415,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.765004782299457,-43.10348332526523,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.766804784099463,-43.11325439260986,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.766804784099463,-43.11130017914094,True,-1.125,-0.3333333333333333,3.3285796957671994,-1.875,-2.75,0.4301765650080257
-22.766804784099463,-43.109345965672006,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.766804784099463,-43.107391752203085,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.766804784099463,-43.10543753873415,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.768604785899463,-43.16797236973983,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.768604785899463,-43.11130017914094,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.768604785899463,-43.109345965672006,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.768604785899463,-43.107391752203085,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.77040478769947,-43.16015551586412,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.77220478949947,-43.1582013023952,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
-22.774004791299475,-43.16015551586412,True,-1.125,-0.3333333333333333,-1.1666666666666667,-1.875,-2.75,0.02528089887640453
