lat,lon,kind,coor
52.506133,13.4655484,convenience,"(52.506133, 13.4655484)"
52.5049744,13.4674633,convenience,"(52.5049744, 13.4674633)"
52.5046457,13.4678618,convenience,"(52.5046457, 13.4678618)"
52.4669419,13.5133836,convenience,"(52.4669419, 13.5133836)"
52.4668756,13.3198096,convenience,"(52.4668756, 13.3198096)"
52.4575426,13.3843486,convenience,"(52.4575426, 13.3843486)"
52.5058829,13.4703076,convenience,"(52.5058829, 13.4703076)"
52.5072131,13.4684572,convenience,"(52.5072131, 13.4684572)"
52.5255327,13.3303661,convenience,"(52.5255327, 13.3303661)"
52.52558,13.3299243,convenience,"(52.52558, 13.3299243)"
52.499861,13.4191728,convenience,"(52.499861, 13.4191728)"
52.4996809,13.4297459,convenience,"(52.4996809, 13.4297459)"
52.4982621,13.4288645,convenience,"(52.4982621, 13.4288645)"
52.4987819,13.4273375,convenience,"(52.4987819, 13.4273375)"
52.4981816,13.3848148,convenience,"(52.4981816, 13.3848148)"
52.5414875,13.3487169,convenience,"(52.5414875, 13.3487169)"
52.5416669,13.3494233,convenience,"(52.5416669, 13.3494233)"
52.5533409,13.4083302,convenience,"(52.5533409, 13.4083302)"
52.445943,13.500479,convenience,"(52.445943, 13.500479)"
52.4938895,13.4218188,convenience,"(52.4938895, 13.4218188)"
52.5272929,13.4500121,convenience,"(52.5272929, 13.4500121)"
52.4885157,13.4287783,convenience,"(52.4885157, 13.4287783)"
52.5469121,13.406241,convenience,"(52.5469121, 13.406241)"
52.5154783,13.290879,convenience,"(52.5154783, 13.290879)"
52.5402467,13.4158448,convenience,"(52.5402467, 13.4158448)"
52.5394809,13.4238961,convenience,"(52.5394809, 13.4238961)"
52.4854176,13.4268834,convenience,"(52.4854176, 13.4268834)"
52.5053204,13.3940873,convenience,"(52.5053204, 13.3940873)"
52.5348523,13.4379797,convenience,"(52.5348523, 13.4379797)"
52.5065512,13.4698185,convenience,"(52.5065512, 13.4698185)"
52.5100286,13.462105,convenience,"(52.5100286, 13.462105)"
52.5157165,13.4399122,convenience,"(52.5157165, 13.4399122)"
52.5110245,13.4356582,convenience,"(52.5110245, 13.4356582)"
52.5230609,13.4344701,convenience,"(52.5230609, 13.4344701)"
52.519883,13.4516496,convenience,"(52.519883, 13.4516496)"
52.5222261,13.449453,convenience,"(52.5222261, 13.449453)"
52.5534498,13.3921872,convenience,"(52.5534498, 13.3921872)"
52.4369217,13.7181357,convenience,"(52.4369217, 13.7181357)"
52.6069342,13.4217062,convenience,"(52.6069342, 13.4217062)"
52.5091058,13.4555933,convenience,"(52.5091058, 13.4555933)"
52.5116257,13.3898386,convenience,"(52.5116257, 13.3898386)"
52.4799667,13.5214915,convenience,"(52.4799667, 13.5214915)"
52.5087859,13.4973357,convenience,"(52.5087859, 13.4973357)"
52.5196117,13.1712485,convenience,"(52.5196117, 13.1712485)"
52.5375585,13.4111971,convenience,"(52.5375585, 13.4111971)"
52.4923613,13.4169147,convenience,"(52.4923613, 13.4169147)"
52.5237092,13.4393122,convenience,"(52.5237092, 13.4393122)"
52.5014008,13.4934074,convenience,"(52.5014008, 13.4934074)"
52.4568134,13.384211,convenience,"(52.4568134, 13.384211)"
52.5541616,13.3397118,convenience,"(52.5541616, 13.3397118)"
52.5211006,13.4470268,convenience,"(52.5211006, 13.4470268)"
52.5143319,13.4929949,convenience,"(52.5143319, 13.4929949)"
52.5258885,13.3070269,convenience,"(52.5258885, 13.3070269)"
52.518017,13.3168638,convenience,"(52.518017, 13.3168638)"
52.4687842,13.4302906,convenience,"(52.4687842, 13.4302906)"
52.5062656,13.3113681,convenience,"(52.5062656, 13.3113681)"
52.5094123,13.3916066,convenience,"(52.5094123, 13.3916066)"
52.5546103,13.4153894,convenience,"(52.5546103, 13.4153894)"
52.489136,13.4509862,convenience,"(52.489136, 13.4509862)"
52.4980049,13.4211603,convenience,"(52.4980049, 13.4211603)"
52.4591429,13.5253076,convenience,"(52.4591429, 13.5253076)"
52.47496,13.3428619,convenience,"(52.47496, 13.3428619)"
52.475761,13.339905,convenience,"(52.475761, 13.339905)"
52.5006355,13.4316495,convenience,"(52.5006355, 13.4316495)"
52.5069169,13.4234636,convenience,"(52.5069169, 13.4234636)"
52.5029232,13.4202891,convenience,"(52.5029232, 13.4202891)"
52.5117259,13.4167008,convenience,"(52.5117259, 13.4167008)"
52.4682986,13.4302019,convenience,"(52.4682986, 13.4302019)"
52.5014844,13.4318688,convenience,"(52.5014844, 13.4318688)"
52.5021417,13.4325367,convenience,"(52.5021417, 13.4325367)"
52.5485711,13.500718,convenience,"(52.5485711, 13.500718)"
52.4151673,13.4972812,convenience,"(52.4151673, 13.4972812)"
52.5030129,13.3956038,convenience,"(52.5030129, 13.3956038)"
52.4708586,13.3439672,convenience,"(52.4708586, 13.3439672)"
52.4700074,13.4254726,convenience,"(52.4700074, 13.4254726)"
52.511525,13.4610655,convenience,"(52.511525, 13.4610655)"
52.5035281,13.3842362,convenience,"(52.5035281, 13.3842362)"
52.5295875,13.4258675,convenience,"(52.5295875, 13.4258675)"
52.528339,13.4253908,convenience,"(52.528339, 13.4253908)"
52.5282926,13.3937035,convenience,"(52.5282926, 13.3937035)"
52.5446717,13.2463188,convenience,"(52.5446717, 13.2463188)"
52.5049434,13.3679278,convenience,"(52.5049434, 13.3679278)"
52.547506,13.2597088,convenience,"(52.547506, 13.2597088)"
52.5278268,13.3917759,convenience,"(52.5278268, 13.3917759)"
52.5395099,13.2723203,convenience,"(52.5395099, 13.2723203)"
52.497054,13.4322378,convenience,"(52.497054, 13.4322378)"
52.5141024,13.5543949,convenience,"(52.5141024, 13.5543949)"
52.5085725,13.4660361,convenience,"(52.5085725, 13.4660361)"
52.5146738,13.4629626,convenience,"(52.5146738, 13.4629626)"
52.5531116,13.3620341,convenience,"(52.5531116, 13.3620341)"
52.5450604,13.4123349,convenience,"(52.5450604, 13.4123349)"
52.4927794,13.4445307,convenience,"(52.4927794, 13.4445307)"
52.4802885,13.4375394,convenience,"(52.4802885, 13.4375394)"
52.5426837,13.3562697,convenience,"(52.5426837, 13.3562697)"
52.5095164,13.4996572,convenience,"(52.5095164, 13.4996572)"
52.5714856,13.408441,convenience,"(52.5714856, 13.408441)"
52.4796484,13.4256815,convenience,"(52.4796484, 13.4256815)"
52.573191,13.4118765,convenience,"(52.573191, 13.4118765)"
52.5391505,13.4229654,convenience,"(52.5391505, 13.4229654)"
52.5313486,13.3457172,convenience,"(52.5313486, 13.3457172)"
52.5006325,13.4220527,convenience,"(52.5006325, 13.4220527)"
52.517851,13.4618701,convenience,"(52.517851, 13.4618701)"
52.513557,13.4740244,convenience,"(52.513557, 13.4740244)"
52.5087196,13.497297,convenience,"(52.5087196, 13.497297)"
52.5000597,13.4408296,convenience,"(52.5000597, 13.4408296)"
52.4562768,13.5113805,convenience,"(52.4562768, 13.5113805)"
52.5478164,13.3512729,convenience,"(52.5478164, 13.3512729)"
52.4628371,13.4834482,convenience,"(52.4628371, 13.4834482)"
52.476671,13.3200611,convenience,"(52.476671, 13.3200611)"
52.4556392,13.5772838,convenience,"(52.4556392, 13.5772838)"
52.4901887,13.3612234,convenience,"(52.4901887, 13.3612234)"
52.4902201,13.3615476,convenience,"(52.4902201, 13.3615476)"
52.532324,13.3405799,convenience,"(52.532324, 13.3405799)"
52.5460604,13.4242176,convenience,"(52.5460604, 13.4242176)"
52.5429314,13.4232484,convenience,"(52.5429314, 13.4232484)"
52.5062656,13.2835133,convenience,"(52.5062656, 13.2835133)"
52.5122969,13.4697138,convenience,"(52.5122969, 13.4697138)"
52.4973075,13.4452756,convenience,"(52.4973075, 13.4452756)"
52.5445553,13.4187368,convenience,"(52.5445553, 13.4187368)"
52.543873,13.4120203,convenience,"(52.543873, 13.4120203)"
52.4785103,13.4388209,convenience,"(52.4785103, 13.4388209)"
52.4790049,13.4249089,convenience,"(52.4790049, 13.4249089)"
52.5357235,13.3573574,convenience,"(52.5357235, 13.3573574)"
52.497357,13.4249683,convenience,"(52.497357, 13.4249683)"
52.550518,13.418591,convenience,"(52.550518, 13.418591)"
52.5647786,13.3942494,convenience,"(52.5647786, 13.3942494)"
52.5637284,13.3923484,convenience,"(52.5637284, 13.3923484)"
52.4814436,13.4295163,convenience,"(52.4814436, 13.4295163)"
52.5102529,13.459522,convenience,"(52.5102529, 13.459522)"
52.5254005,13.3415781,convenience,"(52.5254005, 13.3415781)"
52.4945279,13.4005487,convenience,"(52.4945279, 13.4005487)"
52.4853925,13.43274,convenience,"(52.4853925, 13.43274)"
52.5177636,13.4688049,convenience,"(52.5177636, 13.4688049)"
52.4724586,13.4592904,convenience,"(52.4724586, 13.4592904)"
52.4107485,13.5184591,convenience,"(52.4107485, 13.5184591)"
52.533499,13.406941,convenience,"(52.533499, 13.406941)"
52.5328558,13.4070136,convenience,"(52.5328558, 13.4070136)"
52.518686,13.2877301,convenience,"(52.518686, 13.2877301)"
52.5330094,13.4223583,convenience,"(52.5330094, 13.4223583)"
52.4848821,13.4279669,convenience,"(52.4848821, 13.4279669)"
52.4842604,13.4285492,convenience,"(52.4842604, 13.4285492)"
52.4968006,13.4331118,convenience,"(52.4968006, 13.4331118)"
52.5176047,13.3179411,convenience,"(52.5176047, 13.3179411)"
52.5323409,13.4249807,convenience,"(52.5323409, 13.4249807)"
52.4965201,13.3198419,convenience,"(52.4965201, 13.3198419)"
52.4390769,13.5510463,convenience,"(52.4390769, 13.5510463)"
52.5149112,13.4648549,convenience,"(52.5149112, 13.4648549)"
52.5159479,13.4824821,convenience,"(52.5159479, 13.4824821)"
52.4909025,13.325004,convenience,"(52.4909025, 13.325004)"
52.5537373,13.3391054,convenience,"(52.5537373, 13.3391054)"
52.4494832,13.2519251,convenience,"(52.4494832, 13.2519251)"
52.4420764,13.2410664,convenience,"(52.4420764, 13.2410664)"
52.5065814,13.3119339,convenience,"(52.5065814, 13.3119339)"
52.4869402,13.35674,convenience,"(52.4869402, 13.35674)"
52.4863462,13.4350054,convenience,"(52.4863462, 13.4350054)"
52.4355659,13.3449495,convenience,"(52.4355659, 13.3449495)"
52.4883647,13.4265249,convenience,"(52.4883647, 13.4265249)"
52.5504744,13.363221,convenience,"(52.5504744, 13.363221)"
52.5445952,13.3684959,convenience,"(52.5445952, 13.3684959)"
52.4554898,13.32583,convenience,"(52.4554898, 13.32583)"
52.4896164,13.3775133,convenience,"(52.4896164, 13.3775133)"
52.4840132,13.5749009,convenience,"(52.4840132, 13.5749009)"
52.5657292,13.3969445,convenience,"(52.5657292, 13.3969445)"
52.4862917,13.356029,convenience,"(52.4862917, 13.356029)"
52.5068859,13.3947723,convenience,"(52.5068859, 13.3947723)"
52.505174,13.3862351,convenience,"(52.505174, 13.3862351)"
52.4903911,13.3862445,convenience,"(52.4903911, 13.3862445)"
52.4863883,13.3169882,convenience,"(52.4863883, 13.3169882)"
52.4909141,13.3961061,convenience,"(52.4909141, 13.3961061)"
52.5122949,13.4721172,convenience,"(52.5122949, 13.4721172)"
52.5123235,13.4719053,convenience,"(52.5123235, 13.4719053)"
52.5217742,13.3252493,convenience,"(52.5217742, 13.3252493)"
52.462517,13.1587273,convenience,"(52.462517, 13.1587273)"
52.51037,13.408449,convenience,"(52.51037, 13.408449)"
52.564078,13.4025395,convenience,"(52.564078, 13.4025395)"
52.5465572,13.3624695,convenience,"(52.5465572, 13.3624695)"
52.532687,13.3325015,convenience,"(52.532687, 13.3325015)"
52.5498899,13.3642803,convenience,"(52.5498899, 13.3642803)"
52.5500185,13.3644884,convenience,"(52.5500185, 13.3644884)"
52.5515966,13.3669496,convenience,"(52.5515966, 13.3669496)"
52.5490483,13.3638703,convenience,"(52.5490483, 13.3638703)"
52.5492312,13.3641607,convenience,"(52.5492312, 13.3641607)"
52.5474713,13.3649186,convenience,"(52.5474713, 13.3649186)"
52.5420164,13.3553233,convenience,"(52.5420164, 13.3553233)"
52.6351008,13.4953917,convenience,"(52.6351008, 13.4953917)"
52.4638287,13.4337581,convenience,"(52.4638287, 13.4337581)"
52.5123328,13.4540704,convenience,"(52.5123328, 13.4540704)"
52.5120577,13.4557455,convenience,"(52.5120577, 13.4557455)"
52.4914079,13.425735,convenience,"(52.4914079, 13.425735)"
52.469581,13.438672,convenience,"(52.469581, 13.438672)"
52.5162946,13.4461864,convenience,"(52.5162946, 13.4461864)"
52.4754348,13.4395206,convenience,"(52.4754348, 13.4395206)"
52.5136766,13.381737,convenience,"(52.5136766, 13.381737)"
52.4838713,13.3833386,convenience,"(52.4838713, 13.3833386)"
52.4900644,13.405571,convenience,"(52.4900644, 13.405571)"
52.5042531,13.3435149,convenience,"(52.5042531, 13.3435149)"
52.5023513,13.4564495,convenience,"(52.5023513, 13.4564495)"
52.5521543,13.4119221,convenience,"(52.5521543, 13.4119221)"
52.5266013,13.3411452,convenience,"(52.5266013, 13.3411452)"
52.5266272,13.3347373,convenience,"(52.5266272, 13.3347373)"
52.5104141,13.2440033,convenience,"(52.5104141, 13.2440033)"
52.5112438,13.4654553,convenience,"(52.5112438, 13.4654553)"
52.5099712,13.4579456,convenience,"(52.5099712, 13.4579456)"
52.5022754,13.4326809,convenience,"(52.5022754, 13.4326809)"
52.4880983,13.3229325,convenience,"(52.4880983, 13.3229325)"
52.506704,13.2829353,convenience,"(52.506704, 13.2829353)"
52.4842094,13.3616064,convenience,"(52.4842094, 13.3616064)"
52.4775872,13.4253287,convenience,"(52.4775872, 13.4253287)"
52.5015275,13.3214942,convenience,"(52.5015275, 13.3214942)"
52.4868603,13.4307177,convenience,"(52.4868603, 13.4307177)"
52.4861775,13.4305783,convenience,"(52.4861775, 13.4305783)"
52.4883398,13.3922924,convenience,"(52.4883398, 13.3922924)"
52.5101364,13.4583749,convenience,"(52.5101364, 13.4583749)"
52.5429975,13.4405078,convenience,"(52.5429975, 13.4405078)"
52.5527614,13.4331239,convenience,"(52.5527614, 13.4331239)"
52.5167129,13.4654773,convenience,"(52.5167129, 13.4654773)"
52.4218802,13.2643174,convenience,"(52.4218802, 13.2643174)"
52.4881174,13.4263919,convenience,"(52.4881174, 13.4263919)"
52.4381824,13.5491157,convenience,"(52.4381824, 13.5491157)"
52.4958735,13.4156315,convenience,"(52.4958735, 13.4156315)"
52.4694557,13.4375405,convenience,"(52.4694557, 13.4375405)"
52.4994276,13.4275171,convenience,"(52.4994276, 13.4275171)"
52.5243154,13.3300717,convenience,"(52.5243154, 13.3300717)"
52.5041947,13.4791072,convenience,"(52.5041947, 13.4791072)"
52.4709529,13.4456029,convenience,"(52.4709529, 13.4456029)"
52.506498,13.4703422,convenience,"(52.506498, 13.4703422)"
52.5185335,13.3424145,convenience,"(52.5185335, 13.3424145)"
52.466622,13.4315906,convenience,"(52.466622, 13.4315906)"
52.5395608,13.37137,convenience,"(52.5395608, 13.37137)"
52.5269513,13.3401211,convenience,"(52.5269513, 13.3401211)"
52.5567356,13.3852321,convenience,"(52.5567356, 13.3852321)"
52.5559834,13.3875475,convenience,"(52.5559834, 13.3875475)"
52.557266,13.3855919,convenience,"(52.557266, 13.3855919)"
52.5244792,13.39243,convenience,"(52.5244792, 13.39243)"
52.5564355,13.3842792,convenience,"(52.5564355, 13.3842792)"
52.5638849,13.3916306,convenience,"(52.5638849, 13.3916306)"
52.5052313,13.379004,convenience,"(52.5052313, 13.379004)"
52.4995723,13.4431934,convenience,"(52.4995723, 13.4431934)"
52.4979731,13.3190554,convenience,"(52.4979731, 13.3190554)"
52.4878189,13.4259362,convenience,"(52.4878189, 13.4259362)"
52.5278526,13.3258011,convenience,"(52.5278526, 13.3258011)"
52.537134,13.3971706,convenience,"(52.537134, 13.3971706)"
52.5198802,13.4525636,convenience,"(52.5198802, 13.4525636)"
52.4957469,13.3634199,convenience,"(52.4957469, 13.3634199)"
52.4951614,13.365856,convenience,"(52.4951614, 13.365856)"
52.5266172,13.6116911,convenience,"(52.5266172, 13.6116911)"
52.4768463,13.2902977,convenience,"(52.4768463, 13.2902977)"
52.4872469,13.4264387,convenience,"(52.4872469, 13.4264387)"
52.5014304,13.4236592,convenience,"(52.5014304, 13.4236592)"
52.5422818,13.4118253,convenience,"(52.5422818, 13.4118253)"
52.4998177,13.4270118,convenience,"(52.4998177, 13.4270118)"
52.4840417,13.4400067,convenience,"(52.4840417, 13.4400067)"
52.5085877,13.4622046,convenience,"(52.5085877, 13.4622046)"
52.5645334,13.3635767,convenience,"(52.5645334, 13.3635767)"
52.5608633,13.37182,convenience,"(52.5608633, 13.37182)"
52.5060271,13.3021728,convenience,"(52.5060271, 13.3021728)"
52.4881456,13.3019098,convenience,"(52.4881456, 13.3019098)"
52.5156423,13.2935635,convenience,"(52.5156423, 13.2935635)"
52.4109385,13.4035245,convenience,"(52.4109385, 13.4035245)"
52.4994382,13.4395831,convenience,"(52.4994382, 13.4395831)"
52.4992017,13.4407618,convenience,"(52.4992017, 13.4407618)"
52.4571231,13.5808138,convenience,"(52.4571231, 13.5808138)"
52.5434051,13.3638855,convenience,"(52.5434051, 13.3638855)"
52.5416403,13.3535499,convenience,"(52.5416403, 13.3535499)"
52.5423337,13.3538487,convenience,"(52.5423337, 13.3538487)"
52.524287,13.3764534,convenience,"(52.524287, 13.3764534)"
52.4144672,13.2667275,convenience,"(52.4144672, 13.2667275)"
52.5014884,13.4415781,convenience,"(52.5014884, 13.4415781)"
52.5026914,13.4222961,convenience,"(52.5026914, 13.4222961)"
52.5450464,13.3777723,convenience,"(52.5450464, 13.3777723)"
52.4708617,13.3852966,convenience,"(52.4708617, 13.3852966)"
52.5030497,13.4887638,convenience,"(52.5030497, 13.4887638)"
52.4367663,13.2618642,convenience,"(52.4367663, 13.2618642)"
52.4239772,13.4576292,convenience,"(52.4239772, 13.4576292)"
52.5385789,13.3980036,convenience,"(52.5385789, 13.3980036)"
52.4791939,13.441365,convenience,"(52.4791939, 13.441365)"
52.6078582,13.2349572,convenience,"(52.6078582, 13.2349572)"
52.4985709,13.4417015,convenience,"(52.4985709, 13.4417015)"
52.5008448,13.408786,convenience,"(52.5008448, 13.408786)"
52.5657443,13.3203746,convenience,"(52.5657443, 13.3203746)"
52.4835558,13.4423444,convenience,"(52.4835558, 13.4423444)"
52.5540195,13.423999,convenience,"(52.5540195, 13.423999)"
52.5565726,13.4148027,convenience,"(52.5565726, 13.4148027)"
52.5153365,13.4781719,convenience,"(52.5153365, 13.4781719)"
52.5519495,13.3578031,convenience,"(52.5519495, 13.3578031)"
52.5202364,13.4691729,convenience,"(52.5202364, 13.4691729)"
52.5610908,13.3768973,convenience,"(52.5610908, 13.3768973)"
52.493762,13.3846639,convenience,"(52.493762, 13.3846639)"
52.4899211,13.4555955,convenience,"(52.4899211, 13.4555955)"
52.4917023,13.4463661,convenience,"(52.4917023, 13.4463661)"
52.4893607,13.4542337,convenience,"(52.4893607, 13.4542337)"
52.4887011,13.4421223,convenience,"(52.4887011, 13.4421223)"
52.5505273,13.4130868,convenience,"(52.5505273, 13.4130868)"
52.5541364,13.414996,convenience,"(52.5541364, 13.414996)"
52.4937138,13.4213641,convenience,"(52.4937138, 13.4213641)"
52.539707,13.4192635,convenience,"(52.539707, 13.4192635)"
52.5375121,13.4236475,convenience,"(52.5375121, 13.4236475)"
52.5057276,13.3209924,convenience,"(52.5057276, 13.3209924)"
52.4898742,13.422358,convenience,"(52.4898742, 13.422358)"
52.5401614,13.4047421,convenience,"(52.5401614, 13.4047421)"
52.4740238,13.4240611,convenience,"(52.4740238, 13.4240611)"
52.5053915,13.3270228,convenience,"(52.5053915, 13.3270228)"
52.5039591,13.3314855,convenience,"(52.5039591, 13.3314855)"
52.5287646,13.4084808,convenience,"(52.5287646, 13.4084808)"
52.5187962,13.4439393,convenience,"(52.5187962, 13.4439393)"
52.4872311,13.3577362,convenience,"(52.4872311, 13.3577362)"
52.4585463,13.5797067,convenience,"(52.4585463, 13.5797067)"
52.4290924,13.3290394,convenience,"(52.4290924, 13.3290394)"
52.5620681,13.2087876,convenience,"(52.5620681, 13.2087876)"
52.477875,13.4473738,convenience,"(52.477875, 13.4473738)"
52.5110557,13.3021293,convenience,"(52.5110557, 13.3021293)"
52.4986146,13.3626548,convenience,"(52.4986146, 13.3626548)"
52.5119635,13.3016627,convenience,"(52.5119635, 13.3016627)"
52.5215326,13.4111495,convenience,"(52.5215326, 13.4111495)"
52.5067185,13.3089922,convenience,"(52.5067185, 13.3089922)"
52.5037939,13.447361,convenience,"(52.5037939, 13.447361)"
52.5567564,13.3774997,convenience,"(52.5567564, 13.3774997)"
52.4624408,13.5170444,convenience,"(52.4624408, 13.5170444)"
52.4617007,13.517886,convenience,"(52.4617007, 13.517886)"
52.4625301,13.5144455,convenience,"(52.4625301, 13.5144455)"
52.4991411,13.3659567,convenience,"(52.4991411, 13.3659567)"
52.5508943,13.3477348,convenience,"(52.5508943, 13.3477348)"
52.5870126,13.2853657,convenience,"(52.5870126, 13.2853657)"
52.498849,13.3537781,convenience,"(52.498849, 13.3537781)"
52.5135785,13.481254,convenience,"(52.5135785, 13.481254)"
52.4927196,13.3304108,convenience,"(52.4927196, 13.3304108)"
52.5004889,13.354215,convenience,"(52.5004889, 13.354215)"
52.4973293,13.3615177,convenience,"(52.4973293, 13.3615177)"
52.5010418,13.3077052,convenience,"(52.5010418, 13.3077052)"
52.5242811,13.4176708,convenience,"(52.5242811, 13.4176708)"
52.5125551,13.4067388,convenience,"(52.5125551, 13.4067388)"
52.5162234,13.2937195,convenience,"(52.5162234, 13.2937195)"
52.5124095,13.4520316,convenience,"(52.5124095, 13.4520316)"
52.5388554,13.410288,convenience,"(52.5388554, 13.410288)"
52.5294395,13.4003701,convenience,"(52.5294395, 13.4003701)"
52.4637686,13.5136261,convenience,"(52.4637686, 13.5136261)"
52.4641989,13.510527,convenience,"(52.4641989, 13.510527)"
52.4574614,13.5111972,convenience,"(52.4574614, 13.5111972)"
52.4350743,13.5597093,convenience,"(52.4350743, 13.5597093)"
52.4524213,13.3333997,convenience,"(52.4524213, 13.3333997)"
52.5123866,13.4615435,convenience,"(52.5123866, 13.4615435)"
52.5126319,13.4617026,convenience,"(52.5126319, 13.4617026)"
52.5304925,13.4008212,convenience,"(52.5304925, 13.4008212)"
52.5321673,13.3947646,convenience,"(52.5321673, 13.3947646)"
