lat_start,lat_end,lng_start,lng_end,lat_center,lng_center,km_to_centroid,grid_in_berlin,degrees_to_centroid,activities_economic,activities_education,activities_health_care,activities_public_service,comfort_leisure_sports,comfort_sports,convenience,mobility_public_transport,social_community,social_culture,social_eating,social_night_life,activities_mean,comfort_mean,mobility_mean,social_mean,livability
52.66224632400042,52.67124633300043,13.088348,13.107053165164064,52.66674632850042,13.097700582582032,27.58983006328513,False,151.5202895287678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.66224632400042,52.67124633300043,13.107053165164064,13.125758330328129,52.66674632850042,13.116405747746096,26.660445887711003,False,149.97255295247447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.66224632400042,52.67124633300043,13.125758330328129,13.144463495492191,52.66674632850042,13.13511091291016,25.759544253827503,False,148.26527537284093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.66224632400042,52.67124633300043,13.144463495492191,13.163168660656256,52.66674632850042,13.153816078074223,24.89021819502808,False,146.37600291812012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.66224632400042,52.67124633300043,13.163168660656256,13.181873825820322,52.66674632850042,13.17252124323829,24.055891228254048,False,144.27883910181018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.66224632400042,52.67124633300043,13.181873825820322,13.200578990984386,52.66674632850042,13.191226408402354,23.26032987468147,False,141.94412945699145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.66224632400042,52.67124633300043,13.200578990984386,13.21928415614845,52.66674632850042,13.209931573566418,22.507645225727853,False,139.33831801808256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.66224632400042,52.67124633300043,13.21928415614845,13.237989321312517,52.66674632850042,13.228636738730485,21.802278511348792,False,136.42415205809988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.66224632400042,52.67124633300043,13.237989321312517,13.25669448647658,52.66674632850042,13.247341903894547,21.14896479778532,False,133.1615123091525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.66224632400042,52.67124633300043,13.25669448647658,13.275399651640644,52.66674632850042,13.266047069058612,20.552668602604413,False,129.50927141298854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.66224632400042,52.67124633300043,13.275399651640644,13.294104816804708,52.66674632850042,13.284752234222676,20.01848580612076,False,125.42870100342284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.66224632400042,52.67124633300043,13.294104816804708,13.312809981968773,52.66674632850042,13.30345739938674,19.551508262004205,False,120.88896876451685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.66224632400042,52.67124633300043,13.312809981968773,13.331515147132835,52.66674632850042,13.322162564550805,19.156651376974363,False,115.87501730038656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.66224632400042,52.67124633300043,13.331515147132835,13.3502203122969,52.66674632850042,13.34086772971487,18.838450705316024,False,110.39735819157626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.66224632400042,52.67124633300043,13.3502203122969,13.368925477460966,52.66674632850042,13.359572894878934,18.600840710170743,False,104.5019114921404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.66224632400042,52.67124633300043,13.368925477460966,13.38763064262503,52.66674632850042,13.378278060042998,18.446935870832736,False,98.27632084177677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.66224632400042,52.67124633300043,13.38763064262503,13.406335807789096,52.66674632850042,13.396983225207062,18.378839164985088,False,91.84836035794504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.66224632400042,52.67124633300043,13.406335807789096,13.42504097295316,52.66674632850042,13.415688390371129,18.39750345517217,False,85.37371510975939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.66224632400042,52.67124633300043,13.42504097295316,13.443746138117223,52.66674632850042,13.434393555535191,18.50266618540453,False,79.01487816293367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
