lat_start,lat_end,lng_start,lng_end,lat_center,lng_center,km_to_centroid,grid_in_berlin,degrees_to_centroid,polygon,activities_economic,activities_education,activities_health_care,activities_public_service,comfort_leisure_sports,comfort_sports,convenience,mobility_public_transport,social_community,social_culture,social_eating,social_night_life
52.66224632400042,52.67124633300043,13.088348,13.107053165164064,52.66674632850042,13.097700582582032,27.589830063285135,False,151.5202895287678,"POLYGON ((52.66224632400042 13.088348, 52.66224632400042 13.107053165164064, 52.67124633300043 13.088348, 52.67124633300043 13.107053165164064, 52.66224632400042 13.088348))",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
52.66224632400042,52.67124633300043,13.107053165164064,13.125758330328129,52.66674632850042,13.116405747746096,26.660445887711003,False,149.97255295247447,"POLYGON ((52.66224632400042 13.107053165164064, 52.66224632400042 13.125758330328129, 52.67124633300043 13.107053165164064, 52.67124633300043 13.125758330328129, 52.66224632400042 13.107053165164064))",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
52.66224632400042,52.67124633300043,13.125758330328129,13.144463495492191,52.66674632850042,13.13511091291016,25.759544253827503,False,148.26527537284093,"POLYGON ((52.66224632400042 13.125758330328129, 52.66224632400042 13.144463495492191, 52.67124633300043 13.125758330328129, 52.67124633300043 13.144463495492191, 52.66224632400042 13.125758330328129))",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
52.66224632400042,52.67124633300043,13.144463495492191,13.163168660656256,52.66674632850042,13.153816078074223,24.89021819502808,False,146.37600291812012,"POLYGON ((52.66224632400042 13.144463495492191, 52.66224632400042 13.163168660656256, 52.67124633300043 13.144463495492191, 52.67124633300043 13.163168660656256, 52.66224632400042 13.144463495492191))",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
52.66224632400042,52.67124633300043,13.163168660656256,13.181873825820322,52.66674632850042,13.17252124323829,24.055891228254048,False,144.27883910181018,"POLYGON ((52.66224632400042 13.163168660656256, 52.66224632400042 13.181873825820322, 52.67124633300043 13.163168660656256, 52.67124633300043 13.181873825820322, 52.66224632400042 13.163168660656256))",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
52.66224632400042,52.67124633300043,13.181873825820322,13.200578990984386,52.66674632850042,13.191226408402354,23.26032987468147,False,141.94412945699145,"POLYGON ((52.66224632400042 13.181873825820322, 52.66224632400042 13.200578990984386, 52.67124633300043 13.181873825820322, 52.67124633300043 13.200578990984386, 52.66224632400042 13.181873825820322))",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
52.66224632400042,52.67124633300043,13.200578990984386,13.21928415614845,52.66674632850042,13.209931573566418,22.507645225727853,False,139.33831801808256,"POLYGON ((52.66224632400042 13.200578990984386, 52.66224632400042 13.21928415614845, 52.67124633300043 13.200578990984386, 52.67124633300043 13.21928415614845, 52.66224632400042 13.200578990984386))",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
52.66224632400042,52.67124633300043,13.21928415614845,13.237989321312517,52.66674632850042,13.228636738730485,21.802278511348792,False,136.42415205809988,"POLYGON ((52.66224632400042 13.21928415614845, 52.66224632400042 13.237989321312517, 52.67124633300043 13.21928415614845, 52.67124633300043 13.237989321312517, 52.66224632400042 13.21928415614845))",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
52.66224632400042,52.67124633300043,13.237989321312517,13.25669448647658,52.66674632850042,13.247341903894547,21.14896479778532,False,133.1615123091525,"POLYGON ((52.66224632400042 13.237989321312517, 52.66224632400042 13.25669448647658, 52.67124633300043 13.237989321312517, 52.67124633300043 13.25669448647658, 52.66224632400042 13.237989321312517))",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
52.66224632400042,52.67124633300043,13.25669448647658,13.275399651640644,52.66674632850042,13.266047069058612,20.552668602604413,False,129.50927141298854,"POLYGON ((52.66224632400042 13.25669448647658, 52.66224632400042 13.275399651640644, 52.67124633300043 13.25669448647658, 52.67124633300043 13.275399651640644, 52.66224632400042 13.25669448647658))",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
52.66224632400042,52.67124633300043,13.275399651640644,13.294104816804708,52.66674632850042,13.284752234222676,20.01848580612076,False,125.42870100342284,"POLYGON ((52.66224632400042 13.275399651640644, 52.66224632400042 13.294104816804708, 52.67124633300043 13.275399651640644, 52.67124633300043 13.294104816804708, 52.66224632400042 13.275399651640644))",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
52.66224632400042,52.67124633300043,13.294104816804708,13.312809981968773,52.66674632850042,13.30345739938674,19.551508262004205,False,120.88896876451685,"POLYGON ((52.66224632400042 13.294104816804708, 52.66224632400042 13.312809981968773, 52.67124633300043 13.294104816804708, 52.67124633300043 13.312809981968773, 52.66224632400042 13.294104816804708))",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
52.66224632400042,52.67124633300043,13.312809981968773,13.331515147132835,52.66674632850042,13.322162564550805,19.156651376974363,False,115.87501730038656,"POLYGON ((52.66224632400042 13.312809981968773, 52.66224632400042 13.331515147132835, 52.67124633300043 13.312809981968773, 52.67124633300043 13.331515147132835, 52.66224632400042 13.312809981968773))",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
