lat_start,lat_end,lng_start,lng_end,lat_center,lng_center,km_to_centroid,grid_in_berlin,degrees_to_centroid,activities_economic,activities_education,activities_health_care,activities_public_service,comfort_leisure_sports,comfort_sports,mobility_public_transport,social_community,social_culture,social_eating,social_night_life,activities_mean,comfort_mean,mobility_mean,social_mean,livability
52.635245846997606,52.662245873997634,13.088347614730992,13.14446315623158,52.64874586049762,13.116405385481286,25.32551182566614,False,152.75016999469165,,,,,,,,,,,,,,,,0.0
52.635245846997606,52.662245873997634,13.14446315623158,13.200578697732167,52.64874586049762,13.172520926981877,22.56620102641311,False,147.34827435550193,,,,,,,,,,,,,,,,0.0
52.635245846997606,52.662245873997634,13.200578697732167,13.256694239232758,52.64874586049762,13.228636468482463,20.14557282821892,False,139.7073750333861,,,,,,,,,,,,,,,,0.0
52.635245846997606,52.662245873997634,13.256694239232758,13.312809780733346,52.64874586049762,13.284752009983052,18.19927578824005,True,128.60330047615278,0.0,0.0519480519480519,0.005524861878453,0.0769230769230769,0.015625,0.0714285714285714,0.0015432098765432,0.0,0.034090909090909,0.0043103448275862,0.0,0.0335989976873954,0.0435267857142857,0.0015432098765432,0.0096003134796238,0.026852678257562726
52.635245846997606,52.662245873997634,13.312809780733346,13.368925322233936,52.64874586049762,13.34086755148364,16.892071448793534,False,112.65079670418837,,,,,,,,,,,,,,,,0.0
52.635245846997606,52.662245873997634,13.368925322233936,13.425040863734525,52.64874586049762,13.396983092984229,16.377711933349957,False,92.0741725312532,,,,,,,,,,,,,,,,0.0
52.635245846997606,52.662245873997634,13.425040863734525,13.481156405235112,52.64874586049762,13.453098634484816,16.729487756379406,False,70.97240279250616,,,,,,,,,,,,,,,,0.0
52.635245846997606,52.662245873997634,13.481156405235112,13.5372719467357,52.64874586049762,13.509214175985406,17.896396509988744,False,54.02222995906626,,,,,,,,,,,,,,,,0.0
52.635245846997606,52.662245873997634,13.5372719467357,13.593387488236289,52.64874586049762,13.565329717485994,19.73436510465517,False,42.09198155026138,,,,,,,,,,,,,,,,0.0
52.635245846997606,52.662245873997634,13.593387488236289,13.649503029736875,52.64874586049762,13.621445258986585,22.07641712036696,False,33.90071690806974,,,,,,,,,,,,,,,,0.0
52.635245846997606,52.662245873997634,13.649503029736875,13.705618571237466,52.64874586049762,13.677560800487171,24.78003287263241,False,28.14625428700285,,,,,,,,,,,,,,,,0.0
52.60824581999758,52.635245846997606,13.088347614730992,13.14446315623158,52.62174583349759,13.116405385481286,23.50125034034204,False,157.18862470471245,,,,,,,,,,,,,,,,0.0
52.60824581999758,52.635245846997606,13.14446315623158,13.200578697732167,52.62174583349759,13.172520926981877,20.49583167754757,False,152.37678497842555,,,,,,,,,,,,,,,,0.0
52.60824581999758,52.635245846997606,13.200578697732167,13.256694239232758,52.62174583349759,13.228636468482463,17.793987868616902,True,145.30198258828358,0.0129870129870129,0.0649350649350649,0.0220994475138121,0.0641025641025641,0.015625,0.0,0.007716049382716,0.0,0.0,0.0086206896551724,0.016,0.0410310223846135,0.0078125,0.007716049382716,0.0061551724137931,0.019078645900335093
52.60824581999758,52.635245846997606,13.256694239232758,13.312809780733346,52.62174583349759,13.284752009983052,15.554725792005778,True,134.35230651724763,0.1038961038961039,0.0129870129870129,0.1104972375690607,0.1794871794871795,0.015625,0.2857142857142857,0.0709876543209876,0.0,0.0227272727272727,0.0172413793103448,0.008,0.1017168834848392,0.1506696428571428,0.0709876543209876,0.0119921630094043,0.10202283053785031
52.60824581999758,52.635245846997606,13.312809780733346,13.368925322233936,52.62174583349759,13.34086755148364,14.00177245574736,True,117.06684344087816,0.0,0.0649350649350649,0.0331491712707182,0.1025641025641025,0.015625,0.1071428571428571,0.0015432098765432,0.0,0.0,0.0064655172413793,0.016,0.0501620846924714,0.0613839285714285,0.0015432098765432,0.0056163793103448,0.036111797713849696
52.60824581999758,52.635245846997606,13.368925322233936,13.425040863734525,52.62174583349759,13.396983092984229,13.37633897373382,True,92.53932764279658,0.0,0.0129870129870129,0.0,0.0384615384615384,0.0625,0.0,0.0,0.0,0.0,0.0043103448275862,0.0,0.0128621378621378,0.03125,0.0,0.0010775862068965,0.013747305439961733
52.60824581999758,52.635245846997606,13.425040863734525,13.481156405235112,52.62174583349759,13.453098634484816,13.805069435998266,True,67.10573916208838,0.0,0.0129870129870129,0.005524861878453,0.0256410256410256,0.0,0.0357142857142857,0.0015432098765432,0.0,0.0,0.0,0.0,0.0110382251266229,0.0178571428571428,0.0015432098765432,0.0,0.00925981372146638
52.60824581999758,52.635245846997606,13.481156405235112,13.5372719467357,52.62174583349759,13.509214175985406,15.199017015342196,False,48.364643212190245,,,,,,,,,,,,,,,,0.0
52.60824581999758,52.635245846997606,13.5372719467357,13.593387488236289,52.62174583349759,13.565329717485994,17.326769698652445,False,36.41562556712225,,,,,,,,,,,,,,,,0.0
52.60824581999758,52.635245846997606,13.593387488236289,13.649503029736875,52.62174583349759,13.621445258986585,19.954959036609857,False,28.75688491315572,,,,,,,,,,,,,,,,0.0
52.60824581999758,52.635245846997606,13.649503029736875,13.705618571237466,52.62174583349759,13.677560800487171,22.91201398536674,False,23.60020548151499,,,,,,,,,,,,,,,,0.0
52.58124579299755,52.60824581999758,13.088347614730992,13.14446315623158,52.59474580649756,13.116405385481286,21.937710294572263,False,161.9357570691241,,,,,,,,,,,,,,,,0.0
