lat_start,lat_end,lng_start,lng_end,lat_center,lng_center,km_to_centroid,grid_in_location,degrees_to_centroid
-22.900026087400004,-22.899126086500004,-42.7983728,-42.79688431927781,-22.899576086950006,-42.79762855963891,0.9885127721030786,False,38.57488263083829
-22.900026087400004,-22.899126086500004,-42.79688431927781,-42.79539583855561,-22.899576086950006,-42.79614007891671,0.8789336116123251,False,45.05704616604328
-22.900026087400004,-22.899126086500004,-42.79539583855561,-42.79390735783342,-22.899576086950006,-42.79465159819452,0.7838249945537354,False,53.416600038779464
-22.900026087400004,-22.899126086500004,-42.79390735783342,-42.792418877111224,-22.899576086950006,-42.79316311747232,0.7090341924184466,False,64.06071381773107
-22.900026087400004,-22.899126086500004,-42.792418877111224,-42.79093039638903,-22.899576086950006,-42.79167463675013,0.6614891423379982,False,77.01312299661409
-22.900026087400004,-22.899126086500004,-42.79093039638903,-42.789441915666835,-22.899576086950006,-42.79018615602793,0.6472223886187203,False,91.4416941965744
-22.900026087400004,-22.899126086500004,-42.789441915666835,-42.78795343494464,-22.899576086950006,-42.78869767530574,0.6683683795003083,True,105.69335576962389
-22.900026087400004,-22.899126086500004,-42.78795343494464,-42.786464954222446,-22.899576086950006,-42.78720919458354,0.7218215129714075,True,118.2249810015486
-22.900026087400004,-22.899126086500004,-42.786464954222446,-42.78497647350025,-22.899576086950006,-42.78572071386135,0.8011409600924463,True,128.39863199304736
-22.900026087400004,-22.899126086500004,-42.78497647350025,-42.783487992778056,-22.899576086950006,-42.78423223313915,0.8995098191538158,False,136.3520684875704
-22.900026087400004,-22.899126086500004,-42.783487992778056,-42.78199951205586,-22.899576086950006,-42.78274375241696,1.0113849549094667,False,142.51942291032398
-22.900926088300004,-22.900026087400004,-42.7983728,-42.79688431927781,-22.900476087850002,-42.79762855963891,0.9261001316951107,False,33.98847214419988
-22.900926088300004,-22.900026087400004,-42.79688431927781,-42.79539583855561,-22.900476087850002,-42.79614007891671,0.8081024717441998,False,40.26527759166716
-22.900926088300004,-22.900026087400004,-42.79539583855561,-42.79390735783342,-22.900476087850002,-42.79465159819452,0.7034827522444845,False,48.71642037809964
-22.900926088300004,-22.900026087400004,-42.79390735783342,-42.792418877111224,-22.900476087850002,-42.79316311747232,0.6190610531576042,False,60.083084321689654
-22.900926088300004,-22.900026087400004,-42.792418877111224,-42.79093039638903,-22.900476087850002,-42.79167463675013,0.5639817544457415,False,74.73977443772439
-22.900926088300004,-22.900026087400004,-42.79093039638903,-42.789441915666835,-22.900476087850002,-42.79018615602793,0.5471786528577044,True,91.70532642230808
-22.900926088300004,-22.900026087400004,-42.789441915666835,-42.78795343494464,-22.900476087850002,-42.78869767530574,0.5720347576202289,True,108.38514252747113
-22.900926088300004,-22.900026087400004,-42.78795343494464,-42.786464954222446,-22.900476087850002,-42.78720919458354,0.6336665343007426,True,122.41404188848627
-22.900926088300004,-22.900026087400004,-42.786464954222446,-42.78497647350025,-22.900476087850002,-42.78572071386135,0.7227261005633784,True,133.15417420564972
-22.900926088300004,-22.900026087400004,-42.78497647350025,-42.783487992778056,-22.900476087850002,-42.78423223313915,0.8304354178043278,False,141.1189783772785
-22.900926088300004,-22.900026087400004,-42.783487992778056,-42.78199951205586,-22.900476087850002,-42.78274375241696,0.9504752373405949,False,147.04895689455248
-22.901826089200004,-22.900926088300004,-42.7983728,-42.79688431927781,-22.901376088750006,-42.79762855963891,0.8707442978167856,False,28.848594002959505
-22.901826089200004,-22.900926088300004,-42.79688431927781,-42.79539583855561,-22.901376088750006,-42.79614007891671,0.7440195837677269,False,34.685070401386426
-22.901826089200004,-22.900926088300004,-42.79539583855561,-42.79390735783342,-22.901376088750006,-42.79465159819452,0.6288279322067483,False,42.939780159705826
-22.901826089200004,-22.900926088300004,-42.79390735783342,-42.792418877111224,-22.901376088750006,-42.79316311747232,0.532704340204507,False,54.84395249057756
-22.901826089200004,-22.900926088300004,-42.792418877111224,-42.79093039638903,-22.901376088750006,-42.79167463675013,0.4675608819106289,True,71.53493890070371
-22.901826089200004,-22.900926088300004,-42.79093039638903,-42.789441915666835,-22.901376088750006,-42.79018615602793,0.4471491484827025,True,92.0869001799523
-22.901826089200004,-22.900926088300004,-42.789441915666835,-42.78795343494464,-22.901376088750006,-42.78869767530574,0.4772436088232165,True,112.13630392753758
-22.901826089200004,-22.900926088300004,-42.78795343494464,-42.786464954222446,-22.901376088750006,-42.78720919458354,0.549609390214615,True,127.85267123067489
-22.901826089200004,-22.900926088300004,-42.786464954222446,-42.78497647350025,-22.901376088750006,-42.78572071386135,0.6502841070857881,True,138.92940307447688
-22.901826089200004,-22.900926088300004,-42.78497647350025,-42.783487992778056,-22.901376088750006,-42.78423223313915,0.7682175971045987,False,146.62233079331222
-22.901826089200004,-22.900926088300004,-42.783487992778056,-42.78199951205586,-22.901376088750006,-42.78274375241696,0.8966253685405791,False,152.09437831119658
-22.902726090100003,-22.901826089200004,-42.7983728,-42.79688431927781,-22.90227608965,-42.79762855963891,0.8238689430833392,False,23.14687373404705
-22.902726090100003,-22.901826089200004,-42.79688431927781,-42.79539583855561,-22.90227608965,-42.79614007891671,0.6885716391171242,False,28.239109422725857
-22.902726090100003,-22.901826089200004,-42.79539583855561,-42.79390735783342,-22.90227608965,-42.79465159819452,0.5621311047639084,True,35.83567817653939
-22.902726090100003,-22.901826089200004,-42.79390735783342,-42.792418877111224,-22.90227608965,-42.79316311747232,0.45204144237994276,True,47.776489188127684
-22.902726090100003,-22.901826089200004,-42.792418877111224,-42.79093039638903,-22.90227608965,-42.79167463675013,0.3730699160602668,True,66.71927359889904
-22.902726090100003,-22.901826089200004,-42.79093039638903,-42.789441915666835,-22.90227608965,-42.79018615602793,0.34714617795437674,True,92.68829098478435
-22.902726090100003,-22.901826089200004,-42.789441915666835,-42.78795343494464,-22.90227608965,-42.78869767530574,0.3851355416329383,True,117.66250789795048
-22.902726090100003,-22.901826089200004,-42.78795343494464,-42.786464954222446,-22.90227608965,-42.78720919458354,0.4718452203302912,True,135.0400962831475
-22.902726090100003,-22.901826089200004,-42.786464954222446,-42.78497647350025,-22.90227608965,-42.78572071386135,0.5860341700092224,True,145.92933396530844
-22.902726090100003,-22.901826089200004,-42.78497647350025,-42.783487992778056,-22.90227608965,-42.78423223313915,0.714649420924823,True,152.91991275035755
-22.902726090100003,-22.901826089200004,-42.783487992778056,-42.78199951205586,-22.90227608965,-42.78274375241696,0.8511763337628345,False,157.65717622534484
-22.903626091000003,-22.902726090100003,-42.7983728,-42.79688431927781,-22.903176090550005,-42.79762855963891,0.7869908916337287,False,16.91699335328872
-22.903626091000003,-22.902726090100003,-42.79688431927781,-42.79539583855561,-22.903176090550005,-42.79614007891671,0.6439929256886486,True,20.911932371661102
-22.903626091000003,-22.902726090100003,-42.79539583855561,-42.79390735783342,-22.903176090550005,-42.79465159819452,0.5065455700752135,True,27.19353433064001
-22.903626091000003,-22.902726090100003,-42.79390735783342,-42.792418877111224,-22.903176090550005,-42.79316311747232,0.380708868039054,True,38.09549134997264
-22.903626091000003,-22.902726090100003,-42.792418877111224,-42.79093039638903,-22.903176090550005,-42.79167463675013,0.2824524230282346,True,58.83536652500963
-22.903626091000003,-22.902726090100003,-42.79093039638903,-42.789441915666835,-22.903176090550005,-42.79018615602793,0.24720194534037498,True,93.77590887370637
-22.903626091000003,-22.902726090100003,-42.789441915666835,-42.78795343494464,-22.903176090550005,-42.78869767530574,0.29820719931419876,True,126.38180078818233
-22.903626091000003,-22.902726090100003,-42.78795343494464,-42.786464954222446,-22.903176090550005,-42.78720919458354,0.40402421598266863,True,144.60792957601535
-22.903626091000003,-22.902726090100003,-42.786464954222446,-42.78497647350025,-22.903176090550005,-42.78572071386135,0.5329473725462718,True,154.30515466939548
-22.903626091000003,-22.902726090100003,-42.78497647350025,-42.783487992778056,-22.903176090550005,-42.78423223313915,0.6718031989528093,True,160.01087475060388
-22.903626091000003,-22.902726090100003,-42.783487992778056,-42.78199951205586,-22.903176090550005,-42.78274375241696,0.8155338593450357,False,163.7006466992774
