lat_start,lat_end,lng_start,lng_end,lat_center,lng_center,km_to_centroid,grid_in_berlin,degrees_to_centroid,activities_economic,activities_education,activities_health_care,activities_public_service,comfort_leisure_sports,comfort_sports,mobility_public_transport,social_community,social_culture,social_eating,social_night_life,activities_mean,comfort_mean,mobility_mean,social_mean
52.63524509700031,52.662245124000336,13.088345,13.144460618180704,52.64874511050032,13.116402809090353,25.32553913289805,False,152.75062318793144,,,,,,,,,,,,,,,
52.63524509700031,52.662245124000336,13.144460618180704,13.20057623636141,52.64874511050032,13.172518427271058,22.5661982361666,False,147.34882990378065,,,,,,,,,,,,,,,
52.63524509700031,52.662245124000336,13.20057623636141,13.256691854542115,52.64874511050032,13.228634045451765,20.14553419908546,False,139.70806728203874,,,,,,,,,,,,,,,
52.63524509700031,52.662245124000336,13.256691854542115,13.31280747272282,52.64874511050032,13.284749663632468,18.199195886559192,True,128.60415673182905,0.0,0.0967741935483871,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.024193548387096774,0.0,0.0,0.0
52.63524509700031,52.662245124000336,13.31280747272282,13.368923090903523,52.64874511050032,13.340865281813173,16.89194767444002,False,112.6517751490679,,,,,,,,,,,,,,,
52.63524509700031,52.662245124000336,13.368923090903523,13.42503870908423,52.64874511050032,13.396980899993878,16.37754779794319,False,92.07506697160444,,,,,,,,,,,,,,,
52.63524509700031,52.662245124000336,13.42503870908423,13.481154327264935,52.64874511050032,13.453096518174585,16.729293714448026,False,70.97297690313991,,,,,,,,,,,,,,,
52.63524509700031,52.662245124000336,13.481154327264935,13.53726994544564,52.64874511050032,13.509212136355288,17.896186133424408,False,54.022484814633685,,,,,,,,,,,,,,,
52.63524509700031,52.662245124000336,13.53726994544564,13.593385563626343,52.64874511050032,13.565327754535993,19.734150025895524,False,42.09204263216382,,,,,,,,,,,,,,,
52.63524509700031,52.662245124000336,13.593385563626343,13.64950118180705,52.64874511050032,13.621443372716698,22.076204920913668,False,33.90068042145877,,,,,,,,,,,,,,,
52.63524509700031,52.662245124000336,13.64950118180705,13.705616799987755,52.64874511050032,13.677558990897404,24.779827648303385,False,28.146171839849945,,,,,,,,,,,,,,,
52.60824507000028,52.63524509700031,13.088345,13.144460618180704,52.62174508350029,13.116402809090353,23.50130125760716,False,157.1890696215562,,,,,,,,,,,,,,,
52.60824507000028,52.63524509700031,13.144460618180704,13.20057623636141,52.62174508350029,13.172518427271058,20.49585322439273,False,152.37734144324344,,,,,,,,,,,,,,,
52.60824507000028,52.63524509700031,13.20057623636141,13.256691854542115,52.62174508350029,13.228634045451765,17.793972466784588,True,145.3027010015165,1.0,0.8,0.2857142857142857,0.2631578947368421,0.25,,0.13513513513513514,0.0,,0.23529411764705882,0.6666666666666666,0.587218045112782,0.25,0.13513513513513514,0.3006535947712418
52.60824507000028,52.63524509700031,13.256691854542115,13.31280747272282,52.62174508350029,13.284749663632468,15.554664690151572,True,134.3532501352325,8.0,0.0,0.27941176470588236,0.23529411764705882,0.0,,0.17441860465116277,0.0,,0.041666666666666664,0.034482758620689655,2.128676470588235,0.0,0.17441860465116277,0.02538314176245211
52.60824507000028,52.63524509700031,13.31280747272282,13.368923090903523,52.62174508350029,13.340865281813173,14.001659079552836,True,117.0680122689694,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
52.60824507000028,52.63524509700031,13.368923090903523,13.42503870908423,52.62174508350029,13.396980899993878,13.376175611066913,True,92.54042802129877,0.0,0.0,0.0,0.0,0.0625,,0.0,0.0,,0.0,0.0,0.0,0.0625,0.0,0.0
52.60824507000028,52.63524509700031,13.42503870908423,13.481154327264935,52.62174508350029,13.453096518174585,13.80487069744437,True,67.10635956799975,0.0,0.02631578947368421,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.006578947368421052,0.0,0.0,0.0
52.60824507000028,52.63524509700031,13.481154327264935,13.53726994544564,52.62174508350029,13.509212136355288,15.198802351451205,False,48.36484404960091,,,,,,,,,,,,,,,
52.60824507000028,52.63524509700031,13.53726994544564,13.593385563626343,52.62174508350029,13.565327754535993,17.326553707092174,False,36.41562135323482,,,,,,,,,,,,,,,
52.60824507000028,52.63524509700031,13.593385563626343,13.64950118180705,52.62174508350029,13.621443372716698,19.954749421128817,False,28.75679616149492,,,,,,,,,,,,,,,
52.60824507000028,52.63524509700031,13.64950118180705,13.705616799987755,52.62174508350029,13.677558990897404,22.91181391661956,False,23.6000844759024,,,,,,,,,,,,,,,
52.58124504300025,52.60824507000028,13.088345,13.144460618180704,52.594745056500265,13.116402809090353,21.93778786273426,False,161.93618534862662,,,,,,,,,,,,,,,
52.58124504300025,52.60824507000028,13.144460618180704,13.20057623636141,52.594745056500265,13.172518427271058,18.68030681407898,True,157.9128684804284,0.0,0.0,0.0,0.0,0.16666666666666666,,0.0,0.0,,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
52.58124504300025,52.60824507000028,13.20057623636141,13.256691854542115,52.594745056500265,13.228634045451765,15.666382677539747,True,151.76835814720764,0.0,0.4000000000000001,0.21428571428571427,0.6842105263157894,0.75,,0.02702702702702703,0.0,,0.4117647058823529,0.0,0.3246240601503759,0.75,0.02702702702702703,0.1372549019607843
