lat_center,lng_center,activities_mean,comfort_mean,mobility_mean,social_mean,negative_mean,livability
52.67394513569991,13.474271199019803,0.0,0.0,0.0,0.0,0.0,0.0
52.6721451338999,13.474271199019803,0.0,0.0,0.0,0.0,0.0,0.0
52.6721451338999,13.477228487901185,0.0,0.0,0.0,0.0,0.0,0.0
52.67034513209991,13.471313910138427,0.0,0.0,0.0,0.0,0.0,0.0
52.67034513209991,13.474271199019803,0.0,0.0,0.0,0.0,0.0,0.0
52.668545130299904,13.459484754612916,0.0,0.0,0.0,0.0,0.0,0.0
52.668545130299904,13.468356621257048,0.0,0.0,0.0,0.0,0.0,0.0
52.668545130299904,13.471313910138427,0.0,0.0,0.0,0.0,0.0,0.0
52.668545130299904,13.474271199019803,0.0,0.0,0.0,0.0,0.0,0.0
52.668545130299904,13.483143065663938,0.0,0.0,0.0,0.0,0.0,0.0
52.668545130299904,13.486100354545314,0.0,0.0047281323877068,0.0,0.0,0.0,0.0030529092841696166
52.66674512849991,13.459484754612916,0.0,0.0,0.0,0.0,0.0,0.0
52.66674512849991,13.462442043494292,0.0,0.0,0.0,0.0,0.0,0.0
52.66674512849991,13.465399332375672,0.0,0.0,0.0,0.0,0.0,0.0
52.66674512849991,13.468356621257048,0.0,0.0,0.0,0.0,0.0,0.0
52.66674512849991,13.471313910138427,0.0,0.0129438210300968,0.0,0.0,0.0,0.004266245845421377
52.66674512849991,13.474271199019803,0.0,0.0,0.0,0.0,0.0,0.0
52.66674512849991,13.477228487901185,0.0,0.0,0.0,0.0,0.0,0.0
52.66674512849991,13.48018577678256,0.0,0.0,0.0,0.0,0.0,0.0
52.66674512849991,13.483143065663938,0.0,0.0,0.0,0.0,0.0,0.0
52.66674512849991,13.486100354545314,0.0,0.0,0.0,0.0,0.0,0.0
52.66494512669991,13.456527465731536,0.0,0.0,0.0,0.0,0.0,0.0
52.66494512669991,13.459484754612916,0.0,0.0,0.0,0.0,0.0,0.0
52.66494512669991,13.462442043494292,0.0,0.0006010563466058,0.0,0.0,0.0,3.667066424496033e-05
52.66494512669991,13.465399332375672,0.0,0.0026969596919325,0.0,0.0,0.0,0.00020573608139166596
52.66494512669991,13.468356621257048,0.0,0.0069314426614173,0.0,0.0,0.0,0.0007243564081505815
52.66494512669991,13.471313910138427,0.0,0.0093680340233062,0.0,0.0,0.0,0.0010340567646126139
