lat_start,lat_end,lng_start,lng_end,lat_center,lng_center,km_to_centroid,grid_in_location,degrees_to_centroid,comfort_leisure_spots,activities_education,negative_street_motorway,mobility_public_transport_bus,activities_economic,activities_goverment,social_life_eating,comfort_comfort_spots,social_life_culture,negative_street_secondary,activities_public_service,social_life_community,comfort_leisure_mass,activities_educational,mobility_public_transport_rail,social_life_night_life,comfort_green_natural,negative_street_primary,mobility_bike_infraestructure,comfort_green_forests,comfort_lakes,activities_health_regional,activities_health_local,comfort_green_space,comfort_rivers,negative_warehouse,negative_retail,activities_post,negative_railway,negative_industrial,comfort_green_parks,negative_supermarket,activities_mean,comfort_mean,mobility_mean,social_mean,negative_mean,livability
40.88119309000008,40.8991931080001,14.33034303381624,14.348365136890443,40.890193099000086,14.339354085353342,9.187693956163224,False,18.5693423381936,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.16836840418359642
40.86319307200007,40.88119309000008,14.1320999,14.150122003074204,40.87219308100008,14.1411109515371,8.451915805992206,False,171.01990016703843,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.16836840418359642
40.86319307200007,40.88119309000008,14.150122003074204,14.168144106148407,40.87219308100008,14.159133054611306,6.975329587235637,False,169.05033608844315,[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.16836840418359642
40.86319307200007,40.88119309000008,14.168144106148407,14.18616620922261,40.87219308100008,14.177155157685508,5.519887813811398,True,165.9960785035116,[0.],[0.],[0.],[0.25806452],[0.],[0.],[0.00588235],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.12048193],[0.],[0.],[0.65986395],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.01215278],[0.00332447],[0.],0.0,0.087074482374909,0.086021505376344,0.0014705882352941,0.0015190972222222,0.23807525866930537
40.86319307200007,40.88119309000008,14.18616620922261,14.204188312296814,40.87219308100008,14.195177260759714,4.108125782068904,True,160.6678914660601,[0.],[0.],[0.],[0.48387097],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[1.],[0.],[0.],[0.07142857],[0.],[0.],[0.],[0.],[0.],[0.],[0.00347222],[0.03457447],[0.],0.0089285714285714,0.1149527186761229,0.1612903225806451,0.0,0.0004340277777777,0.28390559114032676
40.86319307200007,40.88119309000008,14.204188312296814,14.222210415371018,40.87219308100008,14.213199363833915,2.8067474626259563,True,149.40505341074766,[0.],[0.16666667],[0.],[0.51612903],[0.],[0.],[0.00588235],[0.],[0.2],[0.1529052],[0.],[0.],[0.5],[0.],[0.13793103],[0.],[0.],[0.],[0.],[0.08843537],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.09375],[0.08577128],[0.],0.0208333333333333,0.0749118500828227,0.218020022246941,0.0514705882352941,0.0308318998470948,0.29173602787177677
40.86319307200007,40.88119309000008,14.222210415371018,14.240232518445222,40.87219308100008,14.23122146690812,1.8634815510649465,True,118.0159342511368,[0.],[0.],[0.09638554],[0.16129032],[0.],[0.],[0.00588235],[0.],[0.],[0.72782875],[0.],[0.],[0.],[0.],[0.24137931],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.07142857],[0.],[0.],[0.],[0.],[0.11111111],[0.],[0.04253472],[0.03789894],[0.],0.0228174603174603,0.0042109929078014,0.1342232109751575,0.0014705882352941,0.1083436263210333,0.14643774534518034
40.86319307200007,40.88119309000008,14.240232518445222,14.258254621519423,40.87219308100008,14.249243569982324,1.913346321104268,True,57.90753171631621,[0.],[0.16666667],[0.39759036],[0.16129032],[0.05714286],[0.],[0.03529412],[0.46938776],[0.],[0.14678899],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[0.81481481],[0.],[0.02040816],[0.],[0.5],[0.],[1.],[0.],[0.],[0.],[0.],[0.],[0.],[0.08444149],[0.],0.0904761904761904,0.1749152675254498,0.053763440860215,0.0088235294117647,0.1698992708857857,0.16356486715841886
40.86319307200007,40.88119309000008,14.258254621519423,14.276276724593629,40.87219308100008,14.267265673056528,2.905653673608032,True,29.240850631314743,[0.],[0.],[0.21686747],[0.58064516],[0.02857143],[0.],[0.01764706],[0.],[0.],[0.50152905],[0.],[0.],[0.],[0.],[0.13793103],[0.],[0.],[0.12962963],[0.],[0.31292517],[0.],[0.],[0.14285714],[0.027833],[0.],[0.08571429],[0.],[0.11111111],[0.],[0.15885417],[0.11702128],[0.],0.0353174603174603,0.0508643831835381,0.239525398591027,0.0044117647058823,0.1365743254847334,0.19152039960283512
40.86319307200007,40.88119309000008,14.276276724593629,14.294298827667832,40.87219308100008,14.28528777613073,4.22117882445613,True,18.752519996454037,[0.],[0.],[0.51807229],[0.38709677],[0.],[0.],[0.02352941],[0.],[0.],[0.],[0.5],[0.],[0.],[0.],[0.34482759],[0.04444444],[0.22891566],[1.],[0.],[0.21768707],[0.],[0.],[0.14285714],[0.],[0.],[0.],[0.],[0.11111111],[0.15789474],[0.35416667],[0.00332447],[0.],0.0942460317460317,0.0499919117295156,0.2439747868001483,0.0169934640522875,0.2537667115831748,0.1267839784084891
