lat_center,lng_center,grid_in_location,activities_mean,comfort_mean,mobility_mean,social_mean,livability
51.1974269153,6.784231426702663,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.0
51.1974269153,6.787103480107989,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.0
51.1974269153,6.789975533513314,True,-2.7,-0.23076923076923078,-1.1720982142856902,-1.875,0.23188405797101463
51.1974269153,6.79284758691864,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.0
51.19562691349999,6.784231426702663,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.0
51.19562691349999,6.787103480107989,True,-2.7,-0.23076923076923078,0.8971478174603196,-1.875,0.9999999999999998
51.19562691349999,6.789975533513314,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.0
51.19562691349999,6.79284758691864,True,-2.7,-0.23076923076923078,0.8971478174603196,-1.875,0.9999999999999998
51.19562691349999,6.795719640323965,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.0
51.1938269117,6.789975533513314,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.0
51.1938269117,6.79284758691864,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.0
51.1920269099,6.79284758691864,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.0
51.1920269099,6.795719640323965,True,-2.7,-0.23076923076923078,0.8971478174603196,-1.875,0.9999999999999998
51.1920269099,6.801463747134616,True,-2.7,-0.23076923076923078,0.5015873015872995,-1.875,0.855072463768116
51.1902269081,6.79284758691864,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.0
51.1902269081,6.795719640323965,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.0
51.1884269063,6.79284758691864,True,-2.7,-0.23076923076923078,0.8971478174603196,-1.875,0.9999999999999998
51.1884269063,6.795719640323965,True,-2.7,-0.23076923076923078,0.8971478174603196,-1.875,0.9999999999999998
51.1884269063,6.798591693729291,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.0
51.1884269063,6.801463747134616,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.0
51.1866269045,6.795719640323965,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.0
51.1866269045,6.798591693729291,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.0
51.1866269045,6.801463747134616,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.0
51.1848269027,6.798591693729291,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.0
51.1848269027,6.801463747134616,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.0
