lat_center,lng_center,grid_in_location,activities_mean,comfort_mean,mobility_mean,social_mean,livability
-34.528336822700055,-58.45817873329095,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.005012531328320691
-34.528336822700055,-58.45599154921008,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.005012531328320691
-34.53013682450005,-58.46036591737182,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.005012531328320691
-34.53013682450005,-58.45817873329095,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.005012531328320691
-34.53013682450005,-58.45599154921008,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.005012531328320691
-34.53013682450005,-58.453804365129216,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.005012531328320691
-34.531936826300054,-58.46036591737182,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.005012531328320691
-34.531936826300054,-58.45817873329095,True,-2.7,-0.052585487650648584,-1.8,-1.875,0.01754385964912275
-34.531936826300054,-58.45599154921008,True,-2.7,0.1928228938801773,-1.8,-1.875,0.032581453634085156
-34.531936826300054,-58.453804365129216,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.005012531328320691
-34.531936826300054,-58.45161718104835,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.005012531328320691
-34.53373682810005,-58.46474028553355,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.005012531328320691
-34.53373682810005,-58.46255310145269,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.005012531328320691
-34.53373682810005,-58.46036591737182,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.005012531328320691
-34.53373682810005,-58.45817873329095,True,-2.7,0.21360896009538718,-1.8,-1.875,0.03508771929824556
-34.53373682810005,-58.45599154921008,True,-2.7,-0.08527651217896927,-1.8,-1.875,0.01503759398496235
-34.53373682810005,-58.453804365129216,True,-2.7,-0.17906307146827893,-1.8,-1.875,0.007518796992481092
-34.53373682810005,-58.45161718104835,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.005012531328320691
-34.53553682990005,-58.46692746961442,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.005012531328320691
-34.53553682990005,-58.46474028553355,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.005012531328320691
-34.53553682990005,-58.46255310145269,True,-2.7,-0.17906307146827893,-1.8,-1.875,0.007518796992481092
-34.53553682990005,-58.46036591737182,True,-2.7,-0.1406104605280503,-1.8,-1.875,0.010025062656641548
-34.53553682990005,-58.45817873329095,True,-2.7,-0.11245964446167077,-1.8,-1.875,0.012531328320801949
-34.53553682990005,-58.45599154921008,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.005012531328320691
-34.53553682990005,-58.453804365129216,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.005012531328320691
-34.53553682990005,-58.45161718104835,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.005012531328320691
-34.537336831700046,-58.47348902185702,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.005012531328320691
-34.537336831700046,-58.47130183777615,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.005012531328320691
-34.537336831700046,-58.469114653695286,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.005012531328320691
-34.537336831700046,-58.46692746961442,True,-2.7,-0.23076923076923078,-1.8,-1.875,0.005012531328320691
